Year,Taxa,Phenology
1993,A.pseudoplatanus,100.59615
1994,A.pseudoplatanus,102.25
1995,A.pseudoplatanus,102.038
1996,A.pseudoplatanus,113.519
1997,A.pseudoplatanus,100
1998,A.pseudoplatanus,102.76
1999,A.pseudoplatanus,97.84615
2000,A.pseudoplatanus,105.84615
2001,A.pseudoplatanus,107.807
2002,A.pseudoplatanus,96.90385
2003,A.pseudoplatanus,103.38462
2004,A.pseudoplatanus,104.96154
2005,A.pseudoplatanus,101.36538
2006,A.pseudoplatanus,112.75
2007,A.pseudoplatanus,102.48
2008,A.pseudoplatanus,109
2009,A.pseudoplatanus,99.80769
2010,A.pseudoplatanus,109.31373
2011,A.pseudoplatanus,98.80392
2012,A.pseudoplatanus,111.4
1993,D.platanoidis,137.88889
1994,D.platanoidis,132.41176
1995,D.platanoidis,158.05769
1996,D.platanoidis,151.07692
1997,D.platanoidis,139.59615
1998,D.platanoidis,159.94118
1999,D.platanoidis,87.08
2000,D.platanoidis,163.17308
2001,D.platanoidis,130.47368
2002,D.platanoidis,154.03846
2003,D.platanoidis,91.35294
2004,D.platanoidis,154.72549
2005,D.platanoidis,110.84444
2006,D.platanoidis,146.75
2007,D.platanoidis,142.25
2008,D.platanoidis,93.58
2009,D.platanoidis,151.90385
2010,D.platanoidis,141.23529
2011,D.platanoidis,144.42857
2012,D.platanoidis,117.44681
1993,P.testudinaceus,141.2745
1994,P.testudinaceus,137.5714
1995,P.testudinaceus,145.549
1996,P.testudinaceus,149.2292
1997,P.testudinaceus,144.8077
1998,P.testudinaceus,146.7885
1999,P.testudinaceus,138.18
2000,P.testudinaceus,150.7885
2001,P.testudinaceus,154.1875
2002,P.testudinaceus,152.5577
2003,P.testudinaceus,131.85
2004,P.testudinaceus,144.7692
2005,P.testudinaceus,136.4
2006,P.testudinaceus,139.6154
2007,P.testudinaceus,121.6
2008,P.testudinaceus,126.5192
2009,P.testudinaceus,144.6346
2010,P.testudinaceus,133.9608
2011,P.testudinaceus,116
2012,P.testudinaceus,129.4792
1993,Parasitoids,155.66
1994,Parasitoids,164.9189
1995,Parasitoids,164.571
1996,Parasitoids,161.12
1997,Parasitoids,151.4773
1998,Parasitoids,178.2
1999,Parasitoids,128.1389
2000,Parasitoids,164.95
2001,Parasitoids,161.9286
2002,Parasitoids,144.5217
2003,Parasitoids,159.5
2004,Parasitoids,170.6739
2005,Parasitoids,148.8
2006,Parasitoids,188.1111
2007,Parasitoids,176.5769
2008,Parasitoids,154.725
2009,Parasitoids,182.7556
2010,Parasitoids,172.6667
2011,Parasitoids,189.4286
2012,Parasitoids,187.88
