"","year","cat_date","bird_date","num_fled","mismatch"
"1",1960,NA,47.5,420,NA
"2",1961,49.4,41,632,-8.4
"3",1962,74.4,54,568,-20.4
"4",1963,68.4,51,1014,-17.4
"5",1964,58.4,56,530,-2.4
"6",1965,58.4,51,1073,-7.4
"7",1966,64.4,56,754,-8.40000000000001
"8",1967,66.4,51,361,-15.4
"9",1968,67.4,52,517,-15.4
"10",1969,68.4,56,647,-12.4
"11",1970,65.4,56,624,-9.40000000000001
"12",1971,65.4,54,609,-11.4
"13",1972,60.02,48,627,-12.02
"14",1973,67.34,53,888,-14.34
"15",1974,64.51,57,572,-7.51000000000001
"16",1975,68.4,52,824,-16.4
"17",1976,60.45,49,724,-11.45
"18",1977,63.55,56,548,-7.55
"19",1978,63.38,57,906,-6.38
"20",1979,73,58,1150,-15
"21",1980,63.12,48,1010,-15.12
"22",1981,57.88,52,1915,-5.88
"23",1982,60.38,50,1416,-10.38
"24",1983,71.4,51,2366,-20.4
"25",1984,70.4,59,1173,-11.4
"26",1985,66.4,48,1268,-18.4
"27",1986,74.4,60,1434,-14.4
"28",1987,61.4,43,1987,-18.4
"29",1988,61.4,53,1480,-8.4
"30",1989,54.53,44,1400,-10.53
"31",1990,48,39,1326,-9
"32",1991,58.22,50,616,-8.22
"33",1992,55.68,47,1363,-8.68
"34",1993,59,43,2129,-16
"35",1994,61,49,2005,-12
"36",1995,54,41,2207,-13
"37",1996,71,51,1837,-20
"38",1997,51,36,2280,-15
"39",1998,56,48,1889,-8
"40",1999,54,45,1224,-9
"41",2000,54,47,1582,-7
"42",2001,62,53,1454,-9
"43",2002,52,35,2073,-17
"44",2003,51,45,1579,-6
"45",2004,55,41,1912,-14
"46",2005,56,46,2175,-10
"47",2006,59,47,2202,-12
"48",2007,44,37,2729,-7
"49",2008,53,46.5,1931,-6.5
"50",2009,50,38,1859,-12
"51",2010,58,41,1917,-17
"52",2011,39,34.5,1502,-4.5
"53",2012,61,41,1050,-20
"54",2013,71,53,1376,-18
"55",2014,55,37,1220,-18
